customer_id,age,region,employment_type,industry,vintage,annual_income,bureau_score,dti,utilization,ltv,ead,lgd_actual,pd_score,default_flag,shap_age,shap_bureau_score,shap_dti,shap_utilization,shap_region,shap_employment_type
1,47,South,Salaried,Transport,2025Q3,97582.19,785.0,36.4,47.76,28.78,159418.91,0.2513,0.02463,1,-0.0013,-0.0736,-0.0017,-0.0006,0.0,-0.003
2,33,South,Salaried,IT,2025Q3,77591.2,647.0,38.46,32.47,78.97,54101.1,0.3335,0.16023,0,0.0325,0.0036,-0.0034,-0.0249,0.0,-0.0138
3,52,East,Business,Construction,2025Q3,117164.57,623.0,35.38,42.65,58.08,275747.04,0.5977,0.08857,0,-0.0217,0.0272,-0.0098,-0.0094,0.0,0.0
4,54,East,Salaried,Retail,2025Q3,85697.1,518.0,40.44,54.63,52.04,192834.07,0.4472,0.23504,0,-0.0562,0.2141,0.0019,0.0117,0.0,-0.0262
5,23,North,Salaried,Transport,2025Q3,86731.87,598.0,33.05,45.29,64.55,64334.7,0.421,0.2176,0,0.0987,0.0928,-0.0272,-0.0109,0.0,-0.0234
6,30,South,Business,Healthcare,2025Q3,101196.86,696.0,30.7,48.01,48.86,151778.64,0.4086,0.06739,0,0.0307,-0.0536,-0.0174,-0.0021,0.0,0.0
7,45,North,Salaried,Manufacturing,2025Q3,61259.9,696.0,21.36,27.26,51.97,65160.02,0.3601,0.03449,0,0.0,-0.0237,-0.0164,-0.0114,0.0,-0.0047
8,41,West,Salaried,Manufacturing,2025Q3,78788.22,616.0,,59.14,65.5,248544.66,0.2976,0.27337,0,0.0206,0.064,0.0479,0.0202,0.022,-0.0233
9,44,West,Salaried,Retail,2025Q3,47848.66,619.0,18.37,57.53,47.8,76684.68,0.3486,0.13356,0,0.0031,0.0334,-0.0563,0.0097,0.0128,-0.014
10,35,North,Salaried,Construction,2025Q3,94992.2,786.0,40.53,31.22,50.62,133822.29,0.3288,0.03503,0,0.007,-0.0894,0.0003,-0.0071,0.0,-0.0036
11,54,North,Salaried,IT,2025Q3,88736.17,843.0,67.01,19.55,56.87,212153.65,0.3197,0.01472,0,-0.0039,-0.0908,0.0057,-0.006,0.0,-0.0017
12,53,North,Business,Construction,2025Q3,123077.91,738.0,55.62,75.07,61.83,148355.81,0.3351,0.06904,0,-0.0169,-0.0997,0.0187,0.0181,0.0,0.0
13,45,South,SelfEmployed,Transport,2025Q3,82631.56,766.0,46.15,86.46,72.03,95222.68,0.2675,0.0787,0,0.0,-0.1659,0.0092,0.0287,0.0,0.0208
