customer_id,age,region,employment_type,industry,vintage,annual_income,bureau_score,dti,utilization,ltv,ead,lgd_actual,pd_score,default_flag,shap_age,shap_bureau_score,shap_dti,shap_utilization,shap_region,shap_employment_type
5001,66,South,Salaried,IT,2026Q1,100337.32,648.0,68.31,39.16,47.38,261523.27,0.458,0.12382,1,-0.0666,0.002,0.0406,-0.0123,0.0,-0.0113
5002,62,North,Salaried,Construction,2026Q1,106478.02,549.0,14.41,9.25,81.98,329267.56,0.4545,0.08236,0,-0.043,0.0525,-0.0469,-0.0444,0.0,-0.0093
5003,55,West,Salaried,IT,2026Q1,93505.99,581.0,39.05,24.52,75.93,43722.51,0.4233,0.14332,1,-0.0377,0.0703,-0.0023,-0.0416,0.014,-0.0153
5004,39,North,Business,Construction,2026Q1,109643.65,713.0,57.97,35.78,48.52,186782.05,0.373,0.10601,0,0.0131,-0.0767,0.026,-0.0153,0.0,0.0
5005,55,South,Business,Healthcare,2026Q1,88532.95,611.0,51.04,93.29,42.46,261706.76,0.4346,0.25442,1,-0.057,0.0732,0.0399,0.0864,0.0,0.0
5006,45,East,Salaried,Healthcare,2026Q1,64607.66,705.0,51.52,27.88,36.06,151645.15,0.5068,0.04634,0,0.0,-0.0462,0.0122,-0.0175,0.0,-0.0074
5007,58,West,SelfEmployed,IT,2026Q1,114424.1,664.0,32.46,40.55,42.99,223943.61,0.2752,0.08524,0,-0.0346,-0.0134,-0.0132,-0.0097,0.0094,0.0218
5008,68,West,Business,IT,2026Q1,96020.94,526.0,2.69,49.33,70.3,220174.27,0.4905,0.12194,1,-0.0937,0.0961,-0.1122,-0.0009,0.0133,0.0
5009,49,East,Salaried,Retail,2026Q1,61724.2,551.0,54.07,58.44,51.17,147546.64,0.5515,0.29614,0,-0.0252,0.1876,0.059,0.022,0.0,-0.027
5010,38,West,Salaried,Manufacturing,2026Q1,71507.91,538.0,64.08,43.28,42.52,86770.92,0.4838,0.51718,1,0.0484,0.2644,0.116,-0.0201,0.0297,-0.03
5011,58,East,Salaried,Retail,2026Q1,102038.44,650.0,49.64,38.75,45.45,222384.1,0.4649,0.07851,0,-0.0329,0.0,0.0138,-0.0111,0.0,-0.0098
5012,50,East,Business,IT,2026Q1,100239.95,748.0,51.82,100.0,84.42,91803.74,0.4794,0.08202,0,-0.012,-0.1335,0.0173,0.0379,0.0,0.0
5013,67,East,Business,Construction,2026Q1,64329.18,630.0,53.8,36.9,49.39,75238.63,0.3651,0.0962,0,-0.0691,0.0177,0.0217,-0.0147,0.0,0.0
5014,51,East,Salaried,Transport,2026Q1,79560.19,611.0,34.36,100.0,69.85,86015.66,0.4526,0.22074,0,-0.0293,0.0626,-0.0194,0.0829,0.0,-0.0206
5015,49,East,Salaried,Retail,2026Q1,66925.15,655.0,45.39,39.05,65.72,148230.47,0.33,0.1021,0,-0.01,-0.0048,0.0088,-0.0119,0.0,-0.0108
5016,51,West,SelfEmployed,Construction,2026Q1,111578.79,,28.84,49.73,61.73,165845.9,0.5015,0.1843,1,-0.0261,0.0525,-0.0353,-0.0005,0.017,0.0401
5017,53,West,Business,Retail,2026Q1,71165.92,595.0,64.25,65.47,48.6,91518.08,0.5745,0.32076,1,-0.0502,0.1142,0.0943,0.0386,0.0253,0.0
5018,28,East,Business,Transport,2026Q1,86660.17,631.0,10.72,39.83,85.31,166029.36,0.4855,0.10151,0,0.0426,0.0207,-0.0778,-0.0137,0.0,0.0
5019,41,North,SelfEmployed,Retail,2026Q1,81340.02,670.0,43.51,18.51,68.95,116684.36,0.3415,0.12169,0,0.0107,-0.0239,0.0068,-0.0436,0.0,0.0267
5020,62,East,Business,Manufacturing,2026Q1,111709.45,583.0,75.61,53.88,56.03,228472.24,0.6538,0.24867,0,-0.1055,0.1241,0.1207,0.0093,0.0,0.0
5021,43,South,Salaried,IT,2026Q1,89202.09,550.0,55.39,20.11,44.85,46408.81,0.5479,0.31889,0,0.011,0.1633,0.0571,-0.077,0.0,-0.0246
5022,50,South,Salaried,Manufacturing,2026Q1,77436.1,682.0,29.62,0.0,43.39,81304.1,0.3532,0.03172,0,-0.0048,-0.0134,-0.0074,-0.0257,0.0,-0.0041
5023,47,East,Business,Retail,2026Q1,95177.56,467.0,54.69,57.41,83.52,261302.95,0.5052,0.53887,0,-0.0134,0.4315,0.0723,0.0216,0.0,0.0
5024,42,West,Business,Manufacturing,2026Q1,120238.91,528.0,60.71,23.81,75.13,126596.73,0.4333,0.43457,1,0.0204,0.2629,0.0968,-0.078,0.029,0.0
5025,48,West,SelfEmployed,Healthcare,2026Q1,105373.32,619.0,50.5,67.36,96.52,189006.42,0.4411,0.32845,0,-0.0179,0.0662,0.042,0.0417,0.0245,0.0588
5026,39,East,Salaried,Manufacturing,2026Q1,87979.47,678.0,57.0,53.3,64.81,247476.11,0.4864,0.13116,0,0.0188,-0.0409,0.0358,0.0046,0.0,-0.0149
5027,34,West,SelfEmployed,Retail,2026Q1,90897.5,632.0,28.18,63.75,70.65,248945.72,0.4027,0.27305,0,0.0533,0.0353,-0.0469,0.0297,0.0219,0.0521
5028,52,South,Salaried,Construction,2026Q1,117145.83,579.0,,77.2,14.18,87817.47,0.3608,0.27547,1,-0.0363,0.1086,-0.0115,0.0522,0.0,-0.0218
5029,68,East,SelfEmployed,Manufacturing,2026Q1,115789.57,673.0,53.25,63.69,71.18,169945.57,0.3134,0.11324,0,-0.079,-0.0268,0.0229,0.0148,0.0,0.0256
5030,58,North,Business,Transport,2026Q1,105585.69,565.0,42.7,71.43,78.41,147565.58,0.4555,0.21415,0,-0.0751,0.1369,0.0101,0.0458,0.0,0.0
5031,58,North,Business,Construction,2026Q1,114777.37,663.0,40.84,33.74,88.53,321465.96,0.4885,0.06664,0,-0.0266,-0.0095,0.001,-0.0133,0.0,0.0
5032,62,North,Salaried,Healthcare,2026Q1,81936.49,587.0,31.63,72.38,10.45,45969.43,0.316,0.1371,1,-0.0704,0.068,-0.0224,0.0307,0.0,-0.0158
5033,52,West,Salaried,Transport,2026Q1,98191.02,537.0,70.25,59.83,26.1,116997.38,0.4608,0.37077,1,-0.0489,0.2609,0.1419,0.0291,0.0296,-0.0299
5034,50,West,Salaried,Construction,2026Q1,99635.94,666.0,49.48,58.65,71.08,136977.82,0.4225,0.09803,0,-0.0158,-0.0202,0.0189,0.0107,0.0123,-0.0135
5035,41,East,Business,Construction,2026Q1,82114.46,725.0,63.53,70.57,63.73,85908.49,0.3453,0.16528,0,0.0117,-0.1209,0.0431,0.0246,0.0,0.0
5036,59,North,Business,Retail,2026Q1,101932.77,591.0,12.95,71.61,29.99,78769.46,0.345,0.11483,0,-0.0485,0.0543,-0.0706,0.0251,0.0,0.0
5037,53,East,Salaried,Retail,2026Q1,90180.99,686.0,62.92,54.87,68.46,181275.51,0.4298,0.09899,0,-0.0225,-0.0425,0.0351,0.0052,0.0,-0.0115
5038,42,South,Business,Healthcare,2026Q1,77567.28,,29.77,7.34,53.93,205361.51,0.5121,0.27561,0,0.0181,0.2515,-0.0462,-0.1201,0.0,0.0
5039,47,West,SelfEmployed,Transport,2026Q1,67848.26,525.0,43.56,78.27,42.23,108654.91,0.4662,0.63666,0,-0.0138,0.3138,0.0177,0.0846,0.0298,0.0748
5040,38,West,Salaried,IT,2026Q1,66044.23,,50.98,37.05,39.62,92226.97,0.4617,0.37085,0,0.0435,0.1984,0.0485,-0.0363,0.0269,-0.0279
5041,56,East,SelfEmployed,Healthcare,2026Q1,95884.81,606.0,79.6,55.45,43.33,269540.15,0.4151,0.33667,1,-0.0729,0.1009,0.1541,0.0147,0.0,0.0649
5042,67,East,SelfEmployed,Retail,2026Q1,116444.4,649.0,77.0,62.89,43.48,348046.98,0.413,0.22824,0,-0.1179,0.0018,0.0951,0.024,0.0,0.0445
