Technique,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,DIS_Symmetric,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Cluster_ID,Rule_Precision,Rule_Recall,Feature,Bin_Type,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Tree_Idx
Drift Localization Tree,367,392,0.0734,0.0784,117.0,150.0,0.0003294999586794597,0.3188010899182561,0.3826530612244898,0.06385197130623366,0.0656344228844219,0.6571623931623932,0.703374655647383,0.046212262484989775,0.31432478632478644,0.406749311294766,0.09242452496997955,0.24902564102564106,0.301267217630854,0.05224157660521295,4.522849626880405e-06,53563660.28,55992411.129999995,0.06861012189592568,0.06762311352267085,-0.0009870083732548274,0.13123675094391266,0.009699451797067599,0.02617838900223024,bureau_score,0.25770566114381677,0.239916,"[{""feature"": ""bureau_score"", ""psi"": 0.25770566114381677}, {""feature"": ""region"", ""psi"": 0.2247761259603248}, {""feature"": ""dti"", ""psi"": 0.08895287851453185}, {""feature"": ""employment_type"", ""psi"": 0.07614863148095373}, {""feature"": ""utilization"", ""psi"": 0.07161425121170438}, {""feature"": ""age"", ""psi"": 0.0682229573521445}]",shap_region,0.24807827181086828,11.0,bureau_score < 645.5 AND dti >= 40.32 AND dti < 55.39 AND age < 43.5,0.08751256384589585,6.030466169173873e-06,True,0.0053,0.0,0.0,0.0,1.0,Population Share: Stable,4.7983,0.007246,"Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,620,454,0.124,0.0908,128.0,118.0,0.010345859695926598,0.2064516129032258,0.2599118942731278,0.05346028136990197,0.03944063187561331,0.6390926702235773,0.6579650928167877,0.018872422593210425,0.2781853404471546,0.31593018563357544,0.03774484518642085,0.24390243902439024,0.24440072639225185,0.0004982873678616162,8.809431734228263e-06,93517925.5,68368183.38,0.11978786054702938,0.0825695720677303,-0.037218288479299075,0.12423083441696149,0.010282073445123396,0.04316480988775728,bureau_score,0.17833601138459734,0.21619,"[{""feature"": ""bureau_score"", ""psi"": 0.17833601138459734}, {""feature"": ""region"", ""psi"": 0.14353741883695115}, {""feature"": ""age"", ""psi"": 0.13839834253926606}, {""feature"": ""dti"", ""psi"": 0.13813118559938295}, {""feature"": ""employment_type"", ""psi"": 0.13096079597013793}, {""feature"": ""utilization"", ""psi"": 0.01602125217143348}]",shap_bureau_score,0.17283734115664182,4.0,region != North AND bureau_score < 645.5 AND dti < 40.32 AND age < 50.5,0.07888126375122662,8.809431734228263e-06,True,0.0076,0.0,0.0,0.0,1.0,Population Share: Stable,4.3238,0.003427,Segment performance stable,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,412,291,0.0824,0.0582,39.0,38.0,0.008414341988708418,0.09466019417475728,0.13058419243986255,0.03592399826510527,0.13304801452709847,0.6436378634770057,0.71957561888912,0.07593775541211434,0.2872757269540114,0.43915123777824006,0.15187551082422868,0.2807451708255998,0.4007697108383607,0.12002454001276092,5.294415383990176e-07,61948922.13,41652788.87,0.07935087102789959,0.05030487549021987,-0.029045995537679718,0.14125785872017455,0.00498608400338082,0.0855120579894183,region,0.2397937940555565,0.2,"[{""feature"": ""region"", ""psi"": 0.2397937940555565}, {""feature"": ""dti"", ""psi"": 0.22259899752384216}, {""feature"": ""bureau_score"", ""psi"": 0.2029493914695421}, {""feature"": ""employment_type"", ""psi"": 0.07106803543857539}, {""feature"": ""age"", ""psi"": 0.06638066923486129}, {""feature"": ""utilization"", ""psi"": 0.044756264598669764}]",shap_dti,0.19928917602830054,25.0,bureau_score >= 645.5 AND dti >= 42.41 AND age >= 38.5 AND age < 48.5,0.13304801452709847,1.0588830767980352e-06,True,0.003,0.0,0.0,0.0,1.0,Population Share: Stable,4.0,0.008839,"Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Localization Tree,431,1220,0.0862,0.244,74.0,353.0,0.1641905919149969,0.1716937354988399,0.289344262295082,0.11765052679624208,1.6274020107065468e-06,0.6416269210386858,0.6867384847623436,0.045111563723657766,0.2832538420773716,0.3734769695246871,0.09022312744731553,0.21000832765538652,0.2978686558776152,0.08786032822222867,6.782447480625676e-11,72547168.82000001,212525118.28000003,0.09292625018389612,0.2566706792908115,0.1637444291069154,0.10101239564963195,0.012866578455238165,0.30695223504067115,dti,0.21957743435137383,0.15,"[{""feature"": ""dti"", ""psi"": 0.21957743435137383}, {""feature"": ""bureau_score"", ""psi"": 0.1797410397898135}, {""feature"": ""age"", ""psi"": 0.14991036249015677}, {""feature"": ""utilization"", ""psi"": 0.022197448607866845}, {""feature"": ""employment_type"", ""psi"": 0.017561774551325654}, {""feature"": ""region"", ""psi"": 0.017086314107255023}]",shap_dti,0.2658584713484694,14.0,region != West AND bureau_score < 645.5 AND dti >= 40.32 AND age >= 43.5,6.509608042826187e-06,2.7129789922502703e-10,True,0.0729,0.0,0.0,0.0,1.0,Population Share: Moderate Drift,3.0,0.022014,"Population shift (Dev 8.6% -> Mon 24.4%, PSI 0.1642) | Significant bad-rate shift (Dev 17.17% -> Mon 28.93%, p_adj=0.0000)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,697,244,0.1394,0.0488,110.0,62.0,0.09509531700333936,0.15781922525107603,0.2540983606557377,0.09627913540466168,0.0008111337923331075,0.6858757937122503,0.6608472172988302,-0.025028576413420045,0.37175158742450054,0.32169443459766045,-0.05005715282684009,0.32806256775592374,0.3114143920595534,-0.016648175696370338,2.073169931729521e-10,91673929.13000001,34107478.09,0.1174258708125716,0.04119225831331117,-0.07623361249926042,0.1213855825435014,0.012531093836975015,0.18858135342837823,bureau_score,0.2400879191020673,0.382988,"[{""feature"": ""bureau_score"", ""psi"": 0.2400879191020673}, {""feature"": ""region"", ""psi"": 0.17075831052494855}, {""feature"": ""employment_type"", ""psi"": 0.11098026194570361}, {""feature"": ""dti"", ""psi"": 0.10477917949570843}, {""feature"": ""utilization"", ""psi"": 0.07729722842621257}, {""feature"": ""age"", ""psi"": 0.024410595766367824}]",shap_bureau_score,0.3007179927182217,,Cluster_6: utilization < 58.66 AND age < 37.5 AND dti < 55.14 AND bureau_score < 738.5,0.0009733605507997289,2.073169931729521e-10,True,0.0023,5e-05,0.0,0.000105,1.0,Population Share: Stable,7.6598,0.002443,"Gini drop 0.0501 (Dev 0.3718 -> Mon 0.3217) | Significant bad-rate shift (Dev 15.78% -> Mon 25.41%, p_adj=0.0010) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,6.0,0.7503267973856209,0.8235294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,612,1113,0.1224,0.2226,175.0,450.0,0.05992782329007452,0.28594771241830064,0.40431266846361186,0.11836495604531122,9.914323055859597e-07,0.6196011768551815,0.6842684766214178,0.06466729976623631,0.2392023537103629,0.36853695324283553,0.12933459953247262,0.22576005230467472,0.2932830568124686,0.06752300450779386,1.2880748649040706e-16,97787006.83,178414967.26999998,0.12525616104971712,0.2154751928405269,0.09021903179080978,0.19032707402678917,0.019690931886381383,0.16023041741023758,dti,0.33108176976872083,0.342938,"[{""feature"": ""dti"", ""psi"": 0.33108176976872083}, {""feature"": ""age"", ""psi"": 0.2446908221440746}, {""feature"": ""region"", ""psi"": 0.23586076743825463}, {""feature"": ""bureau_score"", ""psi"": 0.2027917446503659}, {""feature"": ""employment_type"", ""psi"": 0.09261031824554534}, {""feature"": ""utilization"", ""psi"": 0.03492702191377367}]",shap_dti,0.33305654147878044,,Cluster_1: utilization >= 38.43 AND utilization < 58.66 AND age >= 37.5 AND dti < 49.98,2.9742969167578792e-06,2.222276628771657e-16,True,0.0508,0.0,0.0,0.0,1.0,Population Share: Stable,6.8588,0.02879,"Significant bad-rate shift (Dev 28.59% -> Mon 40.43%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,1.0,0.21651560926485397,0.35130718954248363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,609,1169,0.1218,0.2338,101.0,346.0,0.0730335977013632,0.16584564860426929,0.29597946963216426,0.13013382102789497,1.943518457281357e-09,0.6858482108053325,0.706352411521362,0.02050420071602943,0.3716964216106651,0.41270482304272393,0.04100840143205886,0.29410618227177054,0.334972151792048,0.040865969520277434,4.505558729082275e-21,93232147.82,189634436.22,0.1194218056255128,0.22902516161591033,0.10960335599039753,0.19285055013707475,0.018536929589097664,0.29124839758586685,bureau_score,0.3490631624048606,0.33114,"[{""feature"": ""bureau_score"", ""psi"": 0.3490631624048606}, {""feature"": ""age"", ""psi"": 0.27499788600744446}, {""feature"": ""dti"", ""psi"": 0.20011587463069902}, {""feature"": ""region"", ""psi"": 0.17411766178943333}, {""feature"": ""employment_type"", ""psi"": 0.1217891608145832}, {""feature"": ""utilization"", ""psi"": 0.037019555175427904}]",shap_age,0.4628372381707376,,Cluster_5: utilization < 58.66 AND age >= 37.5 AND dti >= 49.98 AND bureau_score < 733,1.1661110743688141e-08,1.3516676187246825e-20,True,0.0575,0.0,0.0,0.0,1.0,Population Share: Stable,6.6228,0.009588,"Significant bad-rate shift (Dev 16.58% -> Mon 29.60%, p_adj=0.0000)",3,5.0,0.7536534446764092,0.5927750410509032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,669,450,0.1338,0.09,139.0,123.0,0.017368297708537206,0.2077727952167414,0.2733333333333333,0.0655605381165919,0.011103406742757782,0.670700420795439,0.7065339002013874,0.03583347940594839,0.341400841590878,0.4130678004027748,0.07166695881189677,0.2737749423103027,0.32572536734541657,0.05195042503511388,1.481517752514438e-16,100607676.09,65609735.370000005,0.12886917891938932,0.07923814126912566,-0.04963103765026365,0.18213139414934695,0.017275385484138848,-0.05842332891176305,bureau_score,0.2633842632373448,0.280525,"[{""feature"": ""bureau_score"", ""psi"": 0.2633842632373448}, {""feature"": ""region"", ""psi"": 0.2543648696411956}, {""feature"": ""age"", ""psi"": 0.22433678840114296}, {""feature"": ""dti"", ""psi"": 0.2052322190067963}, {""feature"": ""employment_type"", ""psi"": 0.11276256960379123}, {""feature"": ""utilization"", ""psi"": 0.03270765500581078}]",shap_bureau_score,0.3171422705034429,,Cluster_4: utilization >= 58.66 AND age < 50.5 AND dti >= 26.26 AND bureau_score >= 596.5,0.011103406742757782,2.222276628771657e-16,True,0.0073,0.0,0.0,0.0,1.0,Population Share: Stable,5.6105,0.00645,"Significant bad-rate shift (Dev 20.78% -> Mon 27.33%, p_adj=0.0111) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",4,4.0,0.7617135207496654,0.8505231689088192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,608,1015,0.1216,0.203,52.0,161.0,0.04171497737409127,0.08552631578947369,0.15862068965517243,0.07309437386569874,2.43081369828424e-05,0.5780990592141672,0.6816406534103306,0.10354159419616349,0.1561981184283343,0.3632813068206613,0.20708318839232698,0.18317653569452125,0.2637205987170349,0.08054406302251366,1.5940128226817216e-22,110225868.15,187135673.24,0.14118919824229256,0.22600735743043826,0.0848181591881457,0.18622380855435197,0.013355260241120043,0.22563622476021628,bureau_score,0.3240751382536702,0.227912,"[{""feature"": ""bureau_score"", ""psi"": 0.3240751382536702}, {""feature"": ""dti"", ""psi"": 0.316260320242358}, {""feature"": ""region"", ""psi"": 0.2112077377360284}, {""feature"": ""age"", ""psi"": 0.13444070599663258}, {""feature"": ""employment_type"", ""psi"": 0.11020876471548116}, {""feature"": ""utilization"", ""psi"": 0.021150184381941495}]",shap_age,0.5920906680481617,,Cluster_2: utilization >= 58.66 AND age >= 50.5 AND bureau_score >= 582.5 AND dti >= 23.74,3.64622054742636e-05,9.56407693609033e-22,True,0.0478,0.0,0.0,0.0,1.0,Population Share: Stable,4.5582,0.042038,"Significant bad-rate shift (Dev 8.55% -> Mon 15.86%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",5,2.0,0.8518518518518519,0.4161184210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-Means Clustering,630,686,0.126,0.1372,49.0,106.0,0.0009537674534114348,0.07777777777777778,0.15451895043731778,0.07674117265954,1.6013526145997048e-05,0.615810179493484,0.6755204944697463,0.059710314976262224,0.2316203589869681,0.35104098893949254,0.11942062995252445,0.2129333661175314,0.29355888093689,0.08062551481935859,9.022130271879924e-14,107844625.02000001,119797840.38999999,0.1381390448256087,0.14468215954578367,0.006543114720174964,0.16295816351440776,0.010512609329446065,0.4025053974943321,region,0.25289019840977445,0.116344,"[{""feature"": ""region"", ""psi"": 0.25289019840977445}, {""feature"": ""dti"", ""psi"": 0.233736933606967}, {""feature"": ""age"", ""psi"": 0.17977590226894752}, {""feature"": ""bureau_score"", ""psi"": 0.17178878356453026}, {""feature"": ""employment_type"", ""psi"": 0.10922906640005361}, {""feature"": ""utilization"", ""psi"": 0.030328096836173768}]",shap_age,0.34603793730451493,,Cluster_7: utilization < 38.43 AND age >= 37.5 AND dti < 49.98,3.2027052291994096e-05,1.0826556326255909e-13,True,0.0199,0.0,0.0,0.0,1.0,Population Share: Stable,2.3269,0.016385,"Significant bad-rate shift (Dev 7.78% -> Mon 15.45%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",6,7.0,0.6050054406964092,0.8825396825396825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
