Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,dti >= 48.88 AND utilization < 33,0.1058,-0.12560413778922963,-0.08292695297706504,0.11368066474686267,0.013289,0.000705,True
2,employment_type = SelfEmployed,0.2396,-0.04297415792914605,-0.044869285048104224,0.2418545161074158,0.010297,0.001251,True
3,dti >= 48.88 AND region = East,0.1422,-0.06589103063486368,-0.05739329733637133,0.08285941417476919,0.00937,0.000648,True
4,dti >= 48.88 AND 33 <= utilization < 47.67,0.108,-0.07772783662712124,-0.06869848788055666,0.09554377699254021,0.008395,0.000462,True
5,614 <= bureau_score < 661,0.2274,-0.034769116445586334,-0.05950892056169632,0.05437959905963849,0.007906,0.000912,True
6,employment_type = Business AND utilization < 33,0.0726,-0.09066073340918068,-0.08677950467912021,0.07024529010220862,0.006582,0.000274,True
7,region = North,0.1856,-0.030797224701825776,-0.02516088734566002,0.06797413793103446,0.005716,0.000546,True
8,employment_type = Business AND utilization >= 62.49,0.0896,-0.0551359936597422,-0.03434207640882864,0.10722289413773481,0.00494,0.000241,True
9,44 <= age < 51 AND utilization >= 62.49,0.0588,-0.06349744058160467,-0.11416255206143522,0.21127986078152194,0.003734,0.000102,True
10,36 <= age < 44 AND 47.67 <= utilization < 62.49,0.047,-0.07287943632300964,-0.022592203422762858,0.10759159007931515,0.003425,7.4e-05,True
