Section,Key,Value
PORTFOLIO HEALTH,Overall Status,CRITICAL - Significant model degradation and/or population drift detected.
PORTFOLIO HEALTH,Most Sensitive Technique for Drift Detection,Feature Binning (Score: 78.2/100)
PORTFOLIO HEALTH,Max Gini Drop Detected,0.6029
PORTFOLIO HEALTH,Max PSI Detected,0.3084
PORTFOLIO HEALTH,Max |Calibration Drift| Detected,1.0593
PORTFOLIO HEALTH,Total Segments Analyzed,10
TOP ROOT-CAUSE SEGMENTS,Rank 1: AutoSlicer,employment_type = SelfEmployed
TOP ROOT-CAUSE SEGMENTS,  -> Discovered By,"AutoSlicer, Feature Binning"
TOP ROOT-CAUSE SEGMENTS,  -> Gini Drop,0.0430
TOP ROOT-CAUSE SEGMENTS,  -> Exposure Drift,0.1234
TOP ROOT-CAUSE SEGMENTS,  -> Calibration Drift (signed),0.6245
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Feature,dti
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Score,0.9017
TOP ROOT-CAUSE SEGMENTS,Rank 2: Gradient Boosting,bureau_score < 642.5 AND dti >= 42.43 AND age >= 49.5
TOP ROOT-CAUSE SEGMENTS,  -> Discovered By,Gradient Boosting
TOP ROOT-CAUSE SEGMENTS,  -> Gini Drop,0.0540
TOP ROOT-CAUSE SEGMENTS,  -> Exposure Drift,0.2081
TOP ROOT-CAUSE SEGMENTS,  -> Calibration Drift (signed),0.4484
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Feature,dti
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Score,0.7496
TOP ROOT-CAUSE SEGMENTS,Rank 3: Gradient Boosting,employment_type = SelfEmployed AND dti < 70.08 AND bureau_score < 648.5
TOP ROOT-CAUSE SEGMENTS,  -> Discovered By,Gradient Boosting
TOP ROOT-CAUSE SEGMENTS,  -> Gini Drop,0.0909
TOP ROOT-CAUSE SEGMENTS,  -> Exposure Drift,0.1104
TOP ROOT-CAUSE SEGMENTS,  -> Calibration Drift (signed),0.6276
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Feature,dti
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Score,0.6723
TOP ROOT-CAUSE SEGMENTS,Rank 4: Feature Binning,bureau_score is Missing
TOP ROOT-CAUSE SEGMENTS,  -> Discovered By,Feature Binning
TOP ROOT-CAUSE SEGMENTS,  -> Gini Drop,0.1102
TOP ROOT-CAUSE SEGMENTS,  -> Exposure Drift,0.0602
TOP ROOT-CAUSE SEGMENTS,  -> Calibration Drift (signed),0.6091
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Feature,bureau_score
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Score,0.5977
TOP ROOT-CAUSE SEGMENTS,Rank 5: AutoSlicer,dti >= 48.88 AND utilization < 33
TOP ROOT-CAUSE SEGMENTS,  -> Discovered By,AutoSlicer
TOP ROOT-CAUSE SEGMENTS,  -> Gini Drop,0.1256
TOP ROOT-CAUSE SEGMENTS,  -> Exposure Drift,0.0415
TOP ROOT-CAUSE SEGMENTS,  -> Calibration Drift (signed),0.2594
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Feature,bureau_score
TOP ROOT-CAUSE SEGMENTS,  -> Root Cause Score,0.5185
ROOT CAUSE ANALYSIS,Top Drifting Features (across all segments),"dti, bureau_score, age"
RECOMMENDATIONS,1. Immediate Action,Investigate 'employment_type = SelfEmployed' - highest root-cause score
RECOMMENDATIONS,2. Root Cause Investigation,Focus on feature 'dti' - highest drift within worst segment
RECOMMENDATIONS,3. Recalibration,Consider model recalibration for segments with calibration drift > 0.05
RECOMMENDATIONS,4. Monitoring Thresholds,Set up automated alerts for PSI > 0.10 and Gini Drop > 0.10
RECOMMENDATIONS,5. Most Sensitive Technique,Use Feature Binning for ongoing monitoring - highest drift-detection sensitivity
