Overall_Rank,Technique,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,DIS_Symmetric,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Cluster_ID,Rule_Precision,Rule_Recall,Feature,Bin_Type,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Tree_Idx,Discovered_By,Normalized_Root_Cause_Score
1,AutoSlicer,573,1198,0.1146,0.2396,91.0,480.0,0.09219038274508189,0.15881326352530542,0.4006677796327212,0.2418545161074158,0.0,0.7306894350462815,0.7092023560817085,-0.021487078964573025,0.46137887009256295,0.4184047121634169,-0.04297415792914605,0.3750398978614747,0.33017061281337046,-0.044869285048104224,2.621314394083882e-24,93380907.42,201252537.76,0.11961235298982355,0.2430565666492327,0.12344421365940915,0.24228469291799903,0.025518119009673868,0.6245357522482747,dti,0.4434542757491564,0.901694,"[{""feature"": ""dti"", ""psi"": 0.4434542757491564}, {""feature"": ""bureau_score"", ""psi"": 0.37014917617807164}, {""feature"": ""region"", ""psi"": 0.3130111688095523}, {""feature"": ""age"", ""psi"": 0.30724672072722553}, {""feature"": ""utilization"", ""psi"": 0.019846816043988098}, {""feature"": ""employment_type"", ""psi"": 0.0}]",shap_region,0.4646090164027026,,employment_type = SelfEmployed,0.0,1.703854356154523e-23,True,0.0661,0.001251,0.000811,0.000811,1.0,Population Share: Stable,18.0339,0.010297,"Significant bad-rate shift (Dev 15.88% -> Mon 40.07%, p_adj=0.0000)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AutoSlicer, Feature Binning",1.0
2,Gradient Boosting,241,1201,0.0482,0.2402,35.0,360.0,0.3083736746091511,0.14522821576763487,0.2997502081598668,0.15452199239223194,9.160512803862986e-07,0.7108183079056866,0.6838172149557405,-0.027001092949946015,0.4216366158113731,0.3676344299114811,-0.05400218589989203,0.322746185852982,0.27697516184436516,-0.04577102400861682,1.5478109076876968e-09,43356033.6,218291730.86,0.05553509104250949,0.2636351283879083,0.20810003734539884,0.13566295259275105,0.014311670196459153,0.44837109854184953,dti,0.30907340782974946,0.749609,"[{""feature"": ""dti"", ""psi"": 0.30907340782974946}, {""feature"": ""region"", ""psi"": 0.1859518204891331}, {""feature"": ""bureau_score"", ""psi"": 0.1584670662890898}, {""feature"": ""employment_type"", ""psi"": 0.07740142217325277}, {""feature"": ""age"", ""psi"": 0.05968595412972313}, {""feature"": ""utilization"", ""psi"": 0.023398044645558037}]",shap_dti,0.38897660399265577,7.0,bureau_score < 642.5 AND dti >= 42.43 AND age >= 49.5,5.060092786895745e-06,3.043153649013099e-09,True,0.0863,0.00171,0.001552,0.001552,1.0,Population Share: Significant Drift,14.9922,0.012971,"Population shift (Dev 4.8% -> Mon 24.0%, PSI 0.3084) | Gini drop 0.0540 (Dev 0.4216 -> Mon 0.3676) | Significant bad-rate shift (Dev 14.52% -> Mon 29.98%, p_adj=0.0000)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Gradient Boosting,0.8063474883809766
3,Gradient Boosting,255,809,0.051,0.1618,54.0,371.0,0.12792251920652728,0.21176470588235294,0.45859085290482077,0.24682614702246783,2.2641888364205442e-12,0.7134696885940667,0.6680389912491229,-0.04543069734494376,0.42693937718813335,0.33607798249824583,-0.09086139468988752,0.38529574350469875,0.2535046585188741,-0.13179108498582465,3.322121457143526e-06,42066662.14,136001187.69,0.053883524801940995,0.16425125421061568,0.11036772940867468,0.20548848790831745,0.021145107734070145,0.6275809589743154,dti,0.4054852459598357,0.672274,"[{""feature"": ""dti"", ""psi"": 0.4054852459598357}, {""feature"": ""region"", ""psi"": 0.34265556169795086}, {""feature"": ""age"", ""psi"": 0.2747916781629973}, {""feature"": ""bureau_score"", ""psi"": 0.1508412204869211}, {""feature"": ""utilization"", ""psi"": 0.059157221142199665}, {""feature"": ""employment_type"", ""psi"": 0.0}]",shap_dti,0.4601524759280524,6.0,employment_type = SelfEmployed AND dti < 70.08 AND bureau_score < 648.5,4.377431750413052e-11,5.004754402969468e-06,True,0.0324,0.001207,0.000997,0.000997,1.0,Population Share: Moderate Drift,13.4455,0.014701,"Population shift (Dev 5.1% -> Mon 16.2%, PSI 0.1279) | Gini drop 0.0909 (Dev 0.4269 -> Mon 0.3361) | KS drop 0.1318 (Dev 0.3853 -> Mon 0.2535) | Significant bad-rate shift (Dev 21.18% -> Mon 45.86%, p_adj=0.0000)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,Gradient Boosting,0.7078754695358758
4,Feature Binning,356,672,0.0712,0.1344,,,0.040152704931214714,0.15168539325842698,0.24851190476190477,0.09682651150347779,,0.7526367427029679,0.6975158593703682,-0.05512088333259968,0.5052734854059358,0.3950317187407364,-0.11024176666519936,0.4320578857002698,0.32968518408727104,-0.10237270161299877,,56518162.22,109785382.11,0.07239456711840495,0.13258992080761872,0.060195353689213776,0.24729677218860782,0.02110117375601926,0.6091325610815077,bureau_score,0.040152704931214714,0.597686,"[{""feature"": ""region"", ""psi"": 0.4197924901949741}, {""feature"": ""dti"", ""psi"": 0.3746716783083376}, {""feature"": ""age"", ""psi"": 0.27095639204567906}, {""feature"": ""employment_type"", ""psi"": 0.1435228700932078}, {""feature"": ""utilization"", ""psi"": 0.02754043030084033}]",shap_bureau_score,0.4910322512371732,,bureau_score is Missing,,,True,0.13258992080761872,0.0009822588459150274,0.0005761208020780841,,0.5074085213032582,Stable,11.953723105360197,,,2,,,,bureau_score,missing,-2.7756545151265057,-2.166521954044998,6.688702808111441,4.545654131373377,-2.143048676738064,0.03296637640449438,0.03783071428571429,0.004864337881219906,167.0,-0.27039575725224707,0.025701299232097456,0.16,-0.2626445468820583,0.03520809550082616,0.2,-0.13519787862612354,0.012850649616048728,0.16,0.055958651016586404,0.1413034209470305,0.0,-0.03594332935393259,0.027133580745886832,0.76,0.09682651150347779,0.004864337881219906,0.4633085674563804,0.3515391695255066,0.4633085674563804,0.27714084216354007,0.035116207922538785,0.3180826709048693,0.4266666666666667,0.7410526315789474,0.4266666666666667,0.0,0.8685714285714285,0.0,,Feature Binning,0.6129012542178647
5,AutoSlicer,321,529,0.0642,0.1058,43.0,131.0,0.020781168043096605,0.13395638629283488,0.24763705103969755,0.11368066474686267,6.826611023580398e-05,0.8024928894094027,0.7396908205147879,-0.06280206889461482,0.6049857788188053,0.4793816410295757,-0.12560413778922963,0.495984607662707,0.413057654685642,-0.08292695297706504,3.1318417048398455e-13,50514176.64,87905935.51,0.06470401385240661,0.10616569167753419,0.04146167782512758,0.21242057249319798,0.021796350605680498,0.25942757208838274,bureau_score,0.4901338367806639,0.518494,"[{""feature"": ""bureau_score"", ""psi"": 0.4901338367806639}, {""feature"": ""age"", ""psi"": 0.3782505199306311}, {""feature"": ""dti"", ""psi"": 0.14301339524152035}, {""feature"": ""employment_type"", ""psi"": 0.11567449847837438}, {""feature"": ""region"", ""psi"": 0.0976137893651953}, {""feature"": ""utilization"", ""psi"": 0.04983739516280281}]",shap_age,0.7572957492123054,,dti >= 48.88 AND utilization < 33,0.00020039406553090845,7.307630644626307e-13,True,0.0129,0.000705,0.000336,0.000336,1.0,Population Share: Stable,10.3699,0.013289,"Gini drop 0.1256 (Dev 0.6050 -> Mon 0.4794) | KS drop 0.0829 (Dev 0.4960 -> Mon 0.4131) | Significant bad-rate shift (Dev 13.40% -> Mon 24.76%, p_adj=0.0002) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AutoSlicer,0.5120646845355574
6,Gradient Boosting,490,1060,0.098,0.212,76.0,402.0,0.08796454274416421,0.15510204081632653,0.37924528301886795,0.22414324220254142,0.0,0.7120359776252225,0.6943474118767862,-0.017688565748436358,0.42407195525044505,0.38869482375357234,-0.035377131496872716,0.32971014492753625,0.3193379606526638,-0.010372184274872465,3.68473294668265e-15,78852381.75999999,178013068.45999998,0.10100264799038984,0.21498981190577562,0.11398716391538578,0.20552738125286585,0.020991452958541906,0.6915749473090812,dti,0.3110769927376668,0.497692,"[{""feature"": ""dti"", ""psi"": 0.3110769927376668}, {""feature"": ""age"", ""psi"": 0.30725547807415676}, {""feature"": ""bureau_score"", ""psi"": 0.3059028611185347}, {""feature"": ""region"", ""psi"": 0.2821777033032147}, {""feature"": ""utilization"", ""psi"": 0.02675125228362211}, {""feature"": ""employment_type"", ""psi"": 0.0}]",shap_age,0.4092514303775543,6.0,employment_type = SelfEmployed AND dti >= 19.06 AND bureau_score >= 528.5,0.0,1.4992546326458073e-14,True,0.0512,0.000806,0.000523,0.000523,1.0,Population Share: Stable,9.9538,0.0075,"Significant bad-rate shift (Dev 15.51% -> Mon 37.92%, p_adj=0.0000)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,Gradient Boosting,0.4855771312153817
7,AutoSlicer,283,540,0.0566,0.108,50.0,147.0,0.03321068323443524,0.17667844522968199,0.2722222222222222,0.09554377699254021,0.002279208783343867,0.7563519313304721,0.7174880130169115,-0.03886391831356062,0.5127038626609441,0.4349760260338229,-0.07772783662712124,0.4138197424892704,0.34512125460871373,-0.06869848788055666,2.5408854072687418e-05,41978664.07,91165249.62,0.05377080736855901,0.11010202811346387,0.05633122074490486,0.2372910415477811,0.021330801487588882,0.18950592964608415,age,0.45377393728316284,0.4506,"[{""feature"": ""age"", ""psi"": 0.45377393728316284}, {""feature"": ""bureau_score"", ""psi"": 0.4282787434964697}, {""feature"": ""region"", ""psi"": 0.19464710075905495}, {""feature"": ""dti"", ""psi"": 0.15993460688761885}, {""feature"": ""employment_type"", ""psi"": 0.10612569321727473}, {""feature"": ""utilization"", ""psi"": 0.08098616764310572}]",shap_age,0.6347957087720333,,dti >= 48.88 AND 33 <= utilization < 47.67,0.0037205169857887355,3.167405096732267e-05,True,0.0132,0.000462,0.000272,0.000272,1.0,Population Share: Stable,9.012,0.008395,"Gini drop 0.0777 (Dev 0.5127 -> Mon 0.4350) | KS drop 0.0687 (Dev 0.4138 -> Mon 0.3451) | Significant bad-rate shift (Dev 17.67% -> Mon 27.22%, p_adj=0.0037) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AutoSlicer,0.42561405742662506
8,AutoSlicer,414,711,0.0828,0.1422,74.0,186.0,0.032123903485088826,0.178743961352657,0.2616033755274262,0.08285941417476919,0.0014753110767093958,0.7701907790143084,0.7372452636968766,-0.03294551531743184,0.5403815580286169,0.4744905273937532,-0.06589103063486368,0.4142289348171701,0.3568356374807988,-0.05739329733637133,1.3529682611487513e-08,62183506.44,114467603.00999999,0.07965135195134351,0.13824472918377162,0.05859337723242811,0.15857891707513658,0.020311160541388942,0.09824866099648599,bureau_score,0.3925453652362644,0.426912,"[{""feature"": ""bureau_score"", ""psi"": 0.3925453652362644}, {""feature"": ""age"", ""psi"": 0.35199990155129823}, {""feature"": ""dti"", ""psi"": 0.10865461145015731}, {""feature"": ""employment_type"", ""psi"": 0.055012323172711354}, {""feature"": ""utilization"", ""psi"": 0.04326130104038812}, {""feature"": ""region"", ""psi"": 0.0}]",shap_bureau_score,0.4397914873491276,,dti >= 48.88 AND region = East,0.002533081282651981,2.086781555331125e-08,True,0.0216,0.000648,0.000313,0.000313,1.0,Population Share: Stable,8.5382,0.00937,"Gini drop 0.0659 (Dev 0.5404 -> Mon 0.4745) | KS drop 0.0574 (Dev 0.4142 -> Mon 0.3568) | Significant bad-rate shift (Dev 17.87% -> Mon 26.16%, p_adj=0.0025) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AutoSlicer,0.39545170942891705
9,Gradient Boosting,402,679,0.0804,0.1358,62.0,163.0,0.029038964757258,0.15422885572139303,0.24005891016200295,0.08583005444060993,0.0007808941857001539,0.7353415559772295,0.6944404812859657,-0.040901074691263806,0.470683111954459,0.3888809625719314,-0.08180214938252761,0.3975332068311196,0.3098872877728635,-0.08764591905825608,3.4163522021740897e-16,62480124.08,111002691.57,0.08003129186453277,0.13406008889190926,0.05402879702737649,0.18204400583618893,0.018375146054215908,0.03982863069750353,dti,0.33551038715623677,0.406933,"[{""feature"": ""dti"", ""psi"": 0.33551038715623677}, {""feature"": ""region"", ""psi"": 0.3163473575679275}, {""feature"": ""age"", ""psi"": 0.27649044775403947}, {""feature"": ""employment_type"", ""psi"": 0.13808008781446668}, {""feature"": ""utilization"", ""psi"": 0.025835754724462957}, {""feature"": ""bureau_score"", ""psi"": 0.0}]",shap_age,0.4267083195224724,4.0,dti < 70.08 AND bureau_score >= 637.5 AND bureau_score < 639.5,0.001811674510824357,1.5242186748161323e-15,True,0.0202,0.000745,0.000359,0.000359,1.0,Population Share: Stable,8.1387,0.011109,"Gini drop 0.0818 (Dev 0.4707 -> Mon 0.3889) | KS drop 0.0876 (Dev 0.3975 -> Mon 0.3099) | Significant bad-rate shift (Dev 15.42% -> Mon 24.01%, p_adj=0.0018) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Gradient Boosting,0.3700120965174763
10,Gradient Boosting,666,1040,0.1332,0.208,109.0,257.0,0.03333733685530816,0.16366366366366367,0.24711538461538463,0.08345172095172096,4.19910180364802e-05,0.7579760512575561,0.7354855862168354,-0.02249046504072072,0.5159521025151121,0.4709711724336707,-0.04498093008144144,0.40656860968820513,0.35689829101877946,-0.04967031866942567,3.401792481464989e-11,101736062.47,167818278.05,0.13031453808029808,0.2026773671418835,0.07236282906158542,0.1344496050052181,0.01769736568299068,0.14903212051620085,bureau_score,0.31921505384845567,0.386507,"[{""feature"": ""bureau_score"", ""psi"": 0.31921505384845567}, {""feature"": ""age"", ""psi"": 0.31150032617855117}, {""feature"": ""dti"", ""psi"": 0.11264373001462746}, {""feature"": ""utilization"", ""psi"": 0.031767626528429196}, {""feature"": ""employment_type"", ""psi"": 0.03157089346124495}, {""feature"": ""region"", ""psi"": 0.0}]",shap_bureau_score,0.36100759255416326,7.0,region = East AND dti >= 42.35,0.00012818310769030798,8.769065063331973e-11,True,0.0455,0.000948,0.000387,0.000387,1.0,Population Share: Stable,7.7301,0.009356,"Significant bad-rate shift (Dev 16.37% -> Mon 24.71%, p_adj=0.0001)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,Gradient Boosting,0.3440033106258356
