Feature,Segment_Definition,Bin_Type,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,PSI,PSI_Interpretation,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,Dev_BR,Mon_BR,Delta_BR,Dev_Calibration_Intercept,Mon_Calibration_Intercept,Calibration_Drift,Dev_Calibration_Slope,Mon_Calibration_Slope,Delta_Calibration_Slope,Dev_ECE,Mon_ECE,Delta_ECE,Dev_EAD,Mon_EAD,Mon_Exposure_Pct,Dev_Exposure_Pct,Exposure_Drift,Top_SHAP_Feature,Top_SHAP_PSI,feature_drift_details,mean_feature_psi,mean_shap_shift,Mon_Default_Count,gini_ci_low,gini_ci_high,gini_p,ks_ci_low,ks_ci_high,ks_p,auc_ci_low,auc_ci_high,auc_p,br_ci_low,br_ci_high,br_p,ece_ci_low,ece_ci_high,ece_p,abs_delta_br,abs_delta_ece,gini_score,ks_score,auc_score,br_score,ece_score,Deterioration_Score,gini_p_adj,ks_p_adj,auc_p_adj,br_p_adj,ece_p_adj,min_p_adj,Confidence_Score,Statistically_Significant,SIS_Raw,DIS_Raw,Business_Impact_Score,Severity_Score,Rank,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,Technique
employment_type,employment_type = SelfEmployed,categorical,573,1198,0.1146,0.2396,0.09219038274508189,Stable,0.7306894350462815,0.7092023560817085,-0.021487078964573025,0.46137887009256295,0.4184047121634169,-0.04297415792914605,0.3750398978614747,0.33017061281337046,-0.044869285048104224,0.15881326352530542,0.4006677796327212,0.2418545161074158,-2.7628125635658747,-1.7035520091996024,1.0592605543662723,5.284552036323253,4.7830048607858,-0.5015471755374534,0.028501151832460735,0.13512696160267113,0.10662580977021038,93380907.42,201252537.76,0.2430565666492327,0.11961235298982355,0.12344421365940915,shap_region,0.4646090164027026,"[{""feature"": ""dti"", ""psi"": 0.4434542757491564}, {""feature"": ""bureau_score"", ""psi"": 0.37014917617807164}, {""feature"": ""region"", ""psi"": 0.3130111688095523}, {""feature"": ""age"", ""psi"": 0.30724672072722553}, {""feature"": ""utilization"", ""psi"": 0.019846816043988098}, {""feature"": ""employment_type"", ""psi"": 0.0}]",0.24228469291799903,0.025518119009673868,480,-0.1584457472422033,0.07728725303785415,0.36,-0.14659745733901847,0.032634749817320625,0.32,-0.07922287362110166,0.038643626518927075,0.36,0.20397492038796483,0.28513319901989065,0.0,0.05918420850049676,0.12038081559252328,0.0,0.2418545161074158,0.10662580977021038,0.3900285344581471,0.28272377245440816,0.3900285344581471,0.8455869881797066,1.0,0.5816735659100818,0.64,0.7410526315789474,0.64,0.0,0.0,0.0,0.5957894736842105,True,0.0012513291234518367,0.0008109907219671922,0.2430565666492327,15.64024973295117,1,employment_type,0.09219038274508189,0.782012,Feature Binning
bureau_score,bureau_score is Missing,missing,356,672,0.0712,0.1344,0.040152704931214714,Stable,0.7526367427029679,0.6975158593703682,-0.05512088333259968,0.5052734854059358,0.3950317187407364,-0.11024176666519936,0.4320578857002698,0.32968518408727104,-0.10237270161299877,0.15168539325842698,0.24851190476190477,0.09682651150347779,-2.7756545151265057,-2.166521954044998,0.6091325610815077,6.688702808111441,4.545654131373377,-2.143048676738064,0.03296637640449438,0.03783071428571429,0.004864337881219906,56518162.22,109785382.11,0.13258992080761872,0.07239456711840495,0.060195353689213776,shap_bureau_score,0.4910322512371732,"[{""feature"": ""region"", ""psi"": 0.4197924901949741}, {""feature"": ""dti"", ""psi"": 0.3746716783083376}, {""feature"": ""age"", ""psi"": 0.27095639204567906}, {""feature"": ""employment_type"", ""psi"": 0.1435228700932078}, {""feature"": ""utilization"", ""psi"": 0.02754043030084033}]",0.24729677218860782,0.02110117375601926,167,-0.27039575725224707,0.025701299232097456,0.16,-0.2626445468820583,0.03520809550082616,0.2,-0.13519787862612354,0.012850649616048728,0.16,0.055958651016586404,0.1413034209470305,0.0,-0.03594332935393259,0.027133580745886832,0.76,0.09682651150347779,0.004864337881219906,0.4633085674563804,0.3515391695255066,0.4633085674563804,0.27714084216354007,0.035116207922538785,0.3180826709048693,0.4266666666666667,0.7410526315789474,0.4266666666666667,0.0,0.8685714285714285,0.0,0.5074085213032582,True,0.0009822588459150274,0.0005761208020780841,0.13258992080761872,11.953723105360197,2,bureau_score,0.040152704931214714,0.597686,Feature Binning
dti,61.885 < dti <= 63.465,numeric,64,128,0.0128,0.0256,0.0088722839111673,Stable,0.9830508474576272,0.6816012725344645,-0.3014495749231627,0.9661016949152543,0.3632025450689289,-0.6028991498463254,0.9830508474576272,0.3388123011664899,-0.6442385462911373,0.078125,0.359375,0.28125,-9.50929170579415,-1.9771924319792509,7.532099273814898,20.37495236729607,4.752502559953294,-15.622449807342777,0.19086937499999998,0.09477296874999999,-0.09609640624999999,9947966.95,22262794.75,0.026887206075406078,0.01274243062345365,0.014144775451952427,shap_bureau_score,0.9261431947964385,"[{""feature"": ""age"", ""psi"": 2.6487218679339533}, {""feature"": ""bureau_score"", ""psi"": 0.7454704102931978}, {""feature"": ""utilization"", ""psi"": 0.10937939777651784}, {""feature"": ""employment_type"", ""psi"": 0.0894839946785979}, {""feature"": ""dti"", ""psi"": 0.08566026587802439}, {""feature"": ""region"", ""psi"": 0.06559457182596487}]",0.6240517513977093,0.024642317708333333,46,-0.8269529813501443,-0.4643745727956255,0.0,-0.74228257242871,-0.5058420043811611,0.0,-0.41347649067507214,-0.23218728639781275,0.0,0.1736328125,0.39140624999999996,0.0,-0.122511052734375,0.019325121093750005,0.24,0.28125,0.09609640624999999,1.0,1.0,1.0,1.0,0.9001621084256983,0.9800324216851397,0.0,0.0,0.0,0.0,0.5907692307692307,0.0,0.8818461538461537,True,0.00020749150316294758,0.0001684884695559642,0.026887206075406078,7.161196996414333,3,dti,0.0088722839111673,0.35806,Feature Binning
utilization,34.61 < utilization <= 35.455,numeric,52,63,0.0104,0.0126,0.0004221602171822321,Stable,0.74,0.6847222222222222,-0.05527777777777776,0.48,0.36944444444444446,-0.11055555555555552,0.62,0.32499999999999996,-0.29500000000000004,0.038461538461538464,0.23809523809523808,0.19963369963369962,-3.9304669025164194,-2.5159121174479675,1.414554785068452,5.036530657672279,7.034507778080116,1.9979771204078371,0.09650249999999999,0.11638936507936505,0.01988686507936506,8793141.940000001,10852583.52,0.01310687417413287,0.011263206009407849,0.0018436681647250215,shap_employment_type,0.7592180060742193,"[{""feature"": ""dti"", ""psi"": 3.339054920415406}, {""feature"": ""age"", ""psi"": 0.525464773678757}, {""feature"": ""employment_type"", ""psi"": 0.47068162328333263}, {""feature"": ""bureau_score"", ""psi"": 0.46012890784264554}, {""feature"": ""region"", ""psi"": 0.22694993951133666}, {""feature"": ""utilization"", ""psi"": 0.13729130204910125}]",0.8599285777967632,0.015939687627187626,15,-0.5665147927125764,0.28357322574762606,0.8095238095238095,-0.5825710429099177,0.023435049019607947,0.09523809523809523,-0.2832573963562882,0.14178661287381303,0.8095238095238095,0.10179334554334553,0.2857142857142857,0.0,-0.03533675007631258,0.1027789393315018,0.44,0.19963369963369962,0.01988686507936506,0.4636504030095068,0.5820598032042885,0.4636504030095068,0.680099912275415,0.17755708206147996,0.4734035207120394,0.9268965517241379,0.7410526315789474,0.9268965517241379,0.0,0.7410526315789474,0.0,0.3328203266787659,True,7.245869795329158e-06,2.9646174057922637e-06,0.01310687417413287,5.248991058893279,4,utilization,0.0004221602171822321,0.26245,Feature Binning
dti,53.38 < dti <= 61.885,numeric,492,804,0.0984,0.1608,0.03064592248764747,Stable,0.7399779040404041,0.7260583435960591,-0.013919560444344947,0.4799558080808082,0.4521166871921183,-0.027839120888689894,0.36616161616161613,0.360929802955665,-0.005231813205951119,0.1951219512195122,0.27860696517412936,0.08348501395461716,-2.5848896513459927,-2.367834984238697,0.2170546671072957,5.664819902554704,5.492364910722885,-0.17245499183181945,0.034785467479674786,0.04785955223880597,0.013074084759131181,74964481.62,137762502.89999998,0.16637842851855006,0.09602260553006928,0.07035582298848078,shap_age,0.5314911454330983,"[{""feature"": ""bureau_score"", ""psi"": 0.40412930509775274}, {""feature"": ""age"", ""psi"": 0.3538792848955222}, {""feature"": ""region"", ""psi"": 0.2067500210760858}, {""feature"": ""employment_type"", ""psi"": 0.14827043396085107}, {""feature"": ""dti"", ""psi"": 0.06216625756912671}, {""feature"": ""utilization"", ""psi"": 0.029811630446881995}]",0.20083448884103675,0.02032076861626825,224,-0.16236654202719433,0.09339021731375384,0.52,-0.1536054686918859,0.07094077693569589,0.72,-0.08118327101359717,0.04669510865687692,0.52,0.03184231282611333,0.11867415968935804,0.0,-0.0246897846211018,0.023504591690935533,0.92,0.08348501395461716,0.013074084759131181,0.37354071759362895,0.23528888029223577,0.37354071759362895,0.2248480254455196,0.11295953656657098,0.26403557549831685,0.7563636363636363,0.9216,0.7563636363636363,0.0,0.92,0.0,0.32913454545454546,True,0.0003723990664577725,0.00017353627922361432,0.16637842851855006,5.211510228102387,5,dti,0.03064592248764747,0.260576,Feature Binning
region,region = North,categorical,1500,928,0.3,0.1856,0.05493358205238913,Stable,0.7557954964931709,0.740396884142258,-0.015398612350912888,0.5115909929863418,0.48079376828451603,-0.030797224701825776,0.39878183831672204,0.373620950971062,-0.02516088734566002,0.14,0.20797413793103448,0.06797413793103446,-2.940265723150131,-2.7110437850226896,0.2292219381274414,6.822769444016098,6.038498710762747,-0.7842707332533507,0.024317279999999997,0.02124153017241379,-0.003075749827586207,230620883.63,158260753.65000004,0.1911345608141415,0.29540413883008054,-0.10426957801593903,shap_age,0.61138055148902,"[{""feature"": ""dti"", ""psi"": 0.4168343931453937}, {""feature"": ""bureau_score"", ""psi"": 0.3625732083950187}, {""feature"": ""age"", ""psi"": 0.30487181906932626}, {""feature"": ""employment_type"", ""psi"": 0.03307466766493966}, {""feature"": ""utilization"", ""psi"": 0.004867369441085365}, {""feature"": ""region"", ""psi"": 0.0}]",0.18703690961929395,0.01799894109195402,193,-0.1270702314240018,0.06948870791764701,0.64,-0.11383050345680515,0.07926552120265141,0.76,-0.0635351157120009,0.034744353958823505,0.64,0.03500790229885057,0.10165775862068964,0.0,-0.009900577655890806,0.028221923903017247,0.52,0.06797413793103446,0.003075749827586207,0.37676321872176277,0.2591383701505597,0.37676321872176277,0.16405219693626674,0.01815714088450354,0.23897482908297113,0.8533333333333334,0.9353846153846154,0.8533333333333334,0.0,0.7563636363636363,0.0,0.32031701631701626,True,0.0005462592208405091,0.0,0.1911345608141415,4.5719692949190485,6,region,0.05493358205238913,0.228598,Feature Binning
age,38.5 < age <= 46.5,numeric,1404,1160,0.2808,0.232,0.009316178663684881,Stable,0.7333821709506266,0.7217822908980105,-0.01159988005261614,0.46676434190125327,0.443564581796021,-0.02319976010523228,0.3709833430534416,0.340932703356572,-0.030050639696869608,0.17236467236467237,0.2818965517241379,0.10953187935946554,-2.6093612053571182,-2.28288530473155,0.3264759006255682,6.226224619803407,5.2432235476864015,-0.9830010721170055,0.034033497150997155,0.04696386206896552,0.012930364917968368,215922421.46,171800524.56,0.20748680296338728,0.27657676079253257,-0.06908995782914529,shap_dti,0.38555463458281974,"[{""feature"": ""dti"", ""psi"": 0.35308575109346074}, {""feature"": ""bureau_score"", ""psi"": 0.3334463722379144}, {""feature"": ""region"", ""psi"": 0.24075204250452187}, {""feature"": ""employment_type"", ""psi"": 0.085487826327261}, {""feature"": ""age"", ""psi"": 0.024934635272011965}, {""feature"": ""utilization"", ""psi"": 0.006438947210667629}]",0.1740242624409729,0.017352090455840453,327,-0.10361578413226398,0.038249386712048784,0.48,-0.09572344034117718,0.03193410043862618,0.44,-0.05180789206613199,0.019124693356024392,0.48,0.0778801331172021,0.13441073533745945,0.0,-0.015494904393236083,0.02837996518444838,0.56,0.10953187935946554,0.012930364917968368,0.3684866876126246,0.26499002679513634,0.3684866876126246,0.3269403095917626,0.11159681113853058,0.28810010455013574,0.7563636363636363,0.7410526315789474,0.7563636363636363,0.0,0.7791304347826088,0.0,0.39341793218223425,True,0.0005583827102352533,0.0,0.20748680296338728,4.4953282571447115,7,age,0.009316178663684881,0.224766,Feature Binning
utilization,78.975 < utilization <= 82.135,numeric,102,87,0.0204,0.0174,0.000477194083889063,Stable,0.5436081242532855,0.7011349306431274,0.15752680638984184,0.08721624850657106,0.40226986128625475,0.3150536127796837,0.2222222222222222,0.36948297604035313,0.14726075381813092,0.08823529411764706,0.2988505747126437,0.21061528059499662,-2.326772445463831,-2.0228232232648917,0.3039492221989395,-0.04721121247029214,3.7964636071299567,3.843674819600249,0.14546843137254903,0.09522609195402298,-0.050242339418526044,16264665.309999999,14740416.220000003,0.017802284618574152,0.020833540196509022,-0.00303125557793487,shap_bureau_score,3.4935908986100666,"[{""feature"": ""bureau_score"", ""psi"": 0.9047188467695593}, {""feature"": ""age"", ""psi"": 0.6425189595839873}, {""feature"": ""dti"", ""psi"": 0.46078733856585263}, {""feature"": ""region"", ""psi"": 0.29724342983400703}, {""feature"": ""utilization"", ""psi"": 0.1561369985052382}, {""feature"": ""employment_type"", ""psi"": 0.12339069046434777}]",0.4307993772871653,0.028393633085418077,26,-0.1710171454497696,0.6952704107927531,0.16,-0.19935021681395168,0.3465987242767909,0.28,-0.0855085727248848,0.34763520539637655,0.16,0.11904158215010141,0.3193458417849898,0.0,-0.07575855780933062,0.0402461775693036,0.76,0.21061528059499662,0.050242339418526044,0.0,0.052798218397204735,0.0,0.7231428913997675,0.4653821758517019,0.24826465712973483,0.4266666666666667,0.7410526315789474,0.4266666666666667,0.0,0.8685714285714285,0.0,0.5074085213032582,True,0.0,0.0,0.017802284618574152,4.03797036173501,8,utilization,0.000477194083889063,0.201899,Feature Binning
utilization,utilization > 84.205,numeric,251,264,0.0502,0.0528,0.0001312900264377837,Stable,0.6897435897435897,0.729340024137712,0.039596434394122304,0.37948717948717947,0.4586800482754241,0.07919286878824461,0.3526556776556776,0.3679730673950327,0.015317389739355092,0.22310756972111553,0.3446969696969697,0.12158939997585419,-2.2319156473603927,-2.365370090234042,-0.13345444287364927,4.6353162123482825,5.288358918832943,0.6530427064846602,0.10394669322709163,0.054152575757575754,-0.049794117469515876,40747852.44,43663355.89,0.05273307601051417,0.05219425088373726,0.0005388251267769081,shap_dti,0.7045398464439435,"[{""feature"": ""dti"", ""psi"": 0.6740371146845653}, {""feature"": ""bureau_score"", ""psi"": 0.6079899159014337}, {""feature"": ""age"", ""psi"": 0.27672956627722195}, {""feature"": ""region"", ""psi"": 0.21520083884441343}, {""feature"": ""employment_type"", ""psi"": 0.11558809920748425}, {""feature"": ""utilization"", ""psi"": 0.026558879455627606}]",0.3193507357284577,0.032886309811260006,91,-0.06769968410223644,0.2933658971894342,0.36,-0.11589252754752379,0.16964573768899488,0.92,-0.03384984205111822,0.1466829485947171,0.36,0.050793417240130395,0.19703157068694915,0.0,-0.07567905731618979,0.03808142786807315,0.28,0.12158939997585419,0.049794117469515876,0.2569421364523232,0.2106972708775157,0.2569421364523232,0.37420050008817446,0.4611322167480731,0.31198285212368193,0.64,0.9496774193548387,0.64,0.0,0.64,0.0,0.4260645161290323,True,0.0,0.0,0.05273307601051417,3.874330419254531,9,utilization,0.0001312900264377837,0.193717,Feature Binning
dti,63.465 < dti <= 65.435,numeric,63,138,0.0126,0.0276,0.011761784381485079,Stable,0.671840354767184,0.7675450762829403,0.09570472151575637,0.3436807095343679,0.5350901525658807,0.19140944303151275,0.3082039911308204,0.4995839112343967,0.1913799201035763,0.3492063492063492,0.2536231884057971,-0.09558316080055207,-1.6355792723567784,-3.1215494914414066,-1.4859702190846282,4.544704071691657,6.427576499179393,1.8828724274877358,0.16438396825396825,0.10030478260869566,-0.0640791856452726,10964105.6,21028695.89,0.025396761109315567,0.014044010767066297,0.01135275034224927,shap_age,2.8290588000905754,"[{""feature"": ""bureau_score"", ""psi"": 0.7906445437894466}, {""feature"": ""age"", ""psi"": 0.41682715847180807}, {""feature"": ""employment_type"", ""psi"": 0.38572705125974804}, {""feature"": ""region"", ""psi"": 0.3553924210660493}, {""feature"": ""utilization"", ""psi"": 0.26792497309242935}, {""feature"": ""dti"", ""psi"": 0.20417263735779873}]",0.4034481308395467,0.025997780078214867,35,-0.23655772532585193,0.5911306090556447,0.52,-0.14201070821669212,0.40105120589454396,0.4,-0.11827886266292596,0.29556530452782237,0.52,-0.1945220841959972,0.045376121463077956,0.16,-0.15606641131815033,0.01017092624223601,0.08,0.09558316080055207,0.0640791856452726,0.13469556907749713,0.0,0.13469556907749713,0.272267452936716,0.5965806383918291,0.22764784589670786,0.7563636363636363,0.7410526315789474,0.7563636363636363,0.16516129032258065,0.256,0.16516129032258065,0.46501176107423986,False,0.0,0.0,0.025396761109315567,3.6234402294813517,10,dti,0.011761784381485079,0.181172,Feature Binning
