Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,employment_type = SelfEmployed AND dti < 70.08 AND bureau_score < 648.5,0.1618,-0.09086139468988752,-0.13179108498582465,0.24682614702246783,0.014701,0.001207,True
2,bureau_score < 642.5 AND dti >= 42.43 AND age >= 49.5,0.2402,-0.05400218589989203,-0.04577102400861682,0.15452199239223194,0.012971,0.00171,True
3,region = North AND age >= 28.5 AND dti < 56.82,0.1264,-0.09354492551480287,-0.0789567452751685,0.03471659287896739,0.011824,0.000786,True
4,dti < 70.08 AND bureau_score >= 637.5 AND bureau_score < 639.5,0.1358,-0.08180214938252761,-0.08764591905825608,0.08583005444060993,0.011109,0.000745,True
5,region = East AND dti >= 42.35,0.208,-0.04498093008144144,-0.04967031866942567,0.08345172095172096,0.009356,0.000948,True
6,dti >= 64.92,0.1344,0.06118628899477496,0.01590808811051142,0.17874262536873153,0.008223,0.0,True
7,employment_type = SelfEmployed AND dti >= 19.06 AND bureau_score >= 528.5,0.212,-0.035377131496872716,-0.010372184274872465,0.22414324220254142,0.0075,0.000806,True
8,region = West AND age >= 39.5 AND utilization < 52,0.1562,-0.023500438530815515,-0.050029330724680965,0.14376627010709653,0.003671,0.000299,True
9,region = West AND employment_type = Business AND dti < 70.08,0.063,0.05628749931695243,0.03136919181799974,-0.011319399554693688,0.003546,0.0,True
10,region = West AND age < 39.5,0.0526,0.05843380036928414,0.03901072435434283,0.23534758305182313,0.003074,0.0,True
